
SLO-CONSTRAINED CAPACITY (baseline = pure_gpu_equal_capex; TTFT<8.0s, TPOT<50ms, 95% attainment)

metric              pure_gpu_equal_capex  pure_gpu_same_count               pd_a  pd_a_no_quant_crossing        layer_split   moe_offload_only
------------------  --------------------  -------------------  -----------------  ----------------------  -----------------  -----------------
max req/s @ SLO                    0.734        0.594 (0.81x)      0.609 (0.83x)           0.609 (0.83x)      0.282 (0.38x)      1.094 (1.49x)
output tok/s @ SLO                 402.4        327.4 (0.81x)      330.4 (0.82x)           330.3 (0.82x)      158.8 (0.39x)      569.0 (1.41x)
TTFT p99 there                   8.409 s      7.875 s (1.07x)    8.366 s (1.01x)         8.374 s (1.00x)   10.884 s (0.77x)    9.147 s (0.92x)
TPOT p99 there                 48.522 ms    23.193 ms (2.09x)  31.651 ms (1.53x)       31.651 ms (1.53x)  11.881 ms (4.08x)  37.937 ms (1.28x)
avg power (W)                      3,175        2,202 (1.44x)     11,306 (0.28x)          11,306 (0.28x)     11,695 (0.27x)     10,561 (0.30x)
J / output token                   7.891        6.726 (1.17x)     34.221 (0.23x)          34.223 (0.23x)     73.666 (0.11x)     18.563 (0.43x)
tok/s per kW                       126.7        148.7 (1.17x)       29.2 (0.23x)            29.2 (0.23x)       13.6 (0.11x)       53.9 (0.43x)
system TDP (kW)                     12.0          7.2 (1.67x)       48.0 (0.25x)            48.0 (0.25x)       48.0 (0.25x)       48.0 (0.25x)
capex                            800,000      480,000 (1.67x)    864,000 (0.93x)         864,000 (0.93x)    864,000 (0.93x)    864,000 (0.93x)
tok/s per Mcapex                   503.0        682.1 (1.36x)      382.4 (0.76x)           382.3 (0.76x)      183.7 (0.37x)      658.5 (1.31x)

[saved] results/pd_a_capacity_eda.json
